Customer ID,Event,Journey Date,Country,Device Type,Customer Segment,Acquisition Channel,Churn Risk Category,Revenue,D1 Retained,D7 Retained,Funnel Stage,Funnel Stage Order
5696,page_view,2024-01-22,UK,Mobile,Medium,Organic,High,0,1,1,Awareness,1
5696,product_view,2024-01-21,UK,Mobile,Medium,Organic,High,0,1,1,Consideration,2
5696,add_to_cart,2024-01-06,UK,Mobile,Medium,Organic,High,0,1,1,Intent,3
5696,checkout_start,2024-01-01,UK,Mobile,Medium,Organic,High,0,1,1,Checkout,4
5696,checkout_complete,2024-02-10,UK,Mobile,Medium,Organic,High,44,1,1,Purchase,5
5667,page_view,2024-02-26,US,Mobile,Medium,Referral,Medium,0,1,0,Awareness,1
5667,product_view,2024-01-22,US,Mobile,Medium,Referral,Medium,0,1,0,Consideration,2
5667,add_to_cart,2024-02-16,US,Mobile,Medium,Referral,Medium,0,1,0,Intent,3
5667,checkout_start,2024-02-25,US,Mobile,Medium,Referral,Medium,0,1,0,Checkout,4
5667,checkout_complete,2024-02-12,US,Mobile,Medium,Referral,Medium,133,1,0,Purchase,5
5063,page_view,2024-02-16,UK,Desktop,Low,Organic,Low,0,1,0,Awareness,1
5063,product_view,2024-02-25,UK,Desktop,Low,Organic,Low,0,1,0,Consideration,2
5063,add_to_cart,2024-01-22,UK,Desktop,Low,Organic,Low,0,1,0,Intent,3
5063,checkout_start,2024-01-14,UK,Desktop,Low,Organic,Low,0,1,0,Checkout,4
5063,checkout_complete,2024-01-23,UK,Desktop,Low,Organic,Low,47,1,0,Purchase,5
5533,page_view,2024-02-15,UK,Mobile,Medium,Paid,Low,0,1,0,Awareness,1
5533,product_view,2024-02-12,UK,Mobile,Medium,Paid,Low,0,1,0,Consideration,2
5533,add_to_cart,2024-02-16,UK,Mobile,Medium,Paid,Low,0,1,0,Intent,3
5533,checkout_start,2024-02-29,UK,Mobile,Medium,Paid,Low,0,1,0,Checkout,4
5533,checkout_complete,2024-01-18,UK,Mobile,Medium,Paid,Low,148,1,0,Purchase,5
5066,page_view,2024-01-17,CA,Mobile,Medium,Paid,Medium,0,1,1,Awareness,1
5066,product_view,2024-02-08,CA,Mobile,Medium,Paid,Medium,0,1,1,Consideration,2
5066,add_to_cart,2024-01-22,CA,Mobile,Medium,Paid,Medium,0,1,1,Intent,3
5066,checkout_start,2024-01-26,CA,Mobile,Medium,Paid,Medium,0,1,1,Checkout,4
5066,checkout_complete,2024-01-25,CA,Mobile,Medium,Paid,Medium,83,1,1,Purchase,5
5621,page_view,2024-01-22,AU,Mobile,Low,Paid,Medium,0,1,1,Awareness,1
5621,product_view,2024-02-03,AU,Mobile,Low,Paid,Medium,0,1,1,Consideration,2
5621,add_to_cart,2024-02-16,AU,Mobile,Low,Paid,Medium,0,1,1,Intent,3
5621,checkout_start,2024-01-08,AU,Mobile,Low,Paid,Medium,0,1,1,Checkout,4
5621,checkout_complete,2024-02-18,AU,Mobile,Low,Paid,Medium,59,1,1,Purchase,5
5346,page_view,2024-02-14,US,Mobile,Medium,Organic,Medium,0,1,1,Awareness,1
5346,product_view,2024-01-06,US,Mobile,Medium,Organic,Medium,0,1,1,Consideration,2
5346,add_to_cart,2024-02-06,US,Mobile,Medium,Organic,Medium,0,1,1,Intent,3
5346,checkout_start,2024-02-26,US,Mobile,Medium,Organic,Medium,0,1,1,Checkout,4
5346,checkout_complete,2024-02-22,US,Mobile,Medium,Organic,Medium,72,1,1,Purchase,5
5490,page_view,2024-01-24,CA,Mobile,High,Organic,High,0,1,0,Awareness,1
5490,product_view,2024-02-24,CA,Mobile,High,Organic,High,0,1,0,Consideration,2
5490,add_to_cart,2024-01-09,CA,Mobile,High,Organic,High,0,1,0,Intent,3
5490,checkout_start,2024-02-24,CA,Mobile,High,Organic,High,0,1,0,Checkout,4
5490,checkout_complete,2024-02-20,CA,Mobile,High,Organic,High,210,1,0,Purchase,5
5760,page_view,2024-01-06,AU,Mobile,High,Paid,Low,0,0,0,Awareness,1
5760,product_view,2024-02-23,AU,Mobile,High,Paid,Low,0,0,0,Consideration,2
5760,add_to_cart,2024-02-18,AU,Mobile,High,Paid,Low,0,0,0,Intent,3
5760,checkout_start,2024-01-30,AU,Mobile,High,Paid,Low,0,0,0,Checkout,4
5760,checkout_complete,2024-02-26,AU,Mobile,High,Paid,Low,141,0,0,Purchase,5
5456,page_view,2024-01-19,UK,Mobile,Low,Paid,High,0,1,1,Awareness,1
5456,product_view,2024-01-20,UK,Mobile,Low,Paid,High,0,1,1,Consideration,2
5456,add_to_cart,2024-02-02,UK,Mobile,Low,Paid,High,0,1,1,Intent,3
5456,checkout_start,2024-01-20,UK,Mobile,Low,Paid,High,0,1,1,Checkout,4
5456,checkout_complete,2024-02-16,UK,Mobile,Low,Paid,High,31,1,1,Purchase,5
